time_min,job_code,job_id,site_id,plane_id,proc_min,move_min,FixedDevices,MobileDevices
480.00,ZY_Z,0,0,8,1.00,0.00,,
480.00,ZY_M,1,23,11,0.00,0.36,,
480.36,ZY_M,1,23,11,0.00,0.00,,
480.36,ZY01,2,23,11,1.00,0.00,,
481.00,ZY_Z,0,0,6,1.00,0.00,,
481.00,ZY_M,1,11,8,0.00,0.13,,
481.13,ZY_M,1,11,8,0.00,0.00,,
481.13,ZY01,2,11,8,1.00,0.00,,
481.50,ZY02,3,23,11,1.00,0.00,FR28,
481.50,ZY03,4,23,11,1.00,0.00,FR8,
481.50,ZY04,5,23,11,3.00,0.00,FR16,MR17
481.50,ZY05,6,23,11,3.00,0.00,FR12,MR13
481.50,ZY06,7,23,11,4.00,0.00,FR24,
481.50,ZY_L,20,23,11,1.00,0.00,,
482.00,ZY_M,1,16,6,0.00,0.32,,
482.13,ZY01,2,10,5,1.00,0.00,,
482.13,ZY_Z,0,0,0,1.00,0.00,,
482.13,ZY_M,1,11,6,0.00,0.13,,
482.20,ZY02,3,11,8,1.00,0.00,FR26,
482.20,ZY03,4,11,8,1.00,0.00,FR6,
482.20,ZY04,5,11,8,3.11,0.00,FR14,MR15
482.20,ZY05,6,11,8,3.11,0.00,FR10,MR11
482.20,ZY06,7,11,8,4.00,0.00,FR22,
482.20,ZY_L,20,11,8,1.00,0.00,,
482.20,ZY_M,1,16,6,0.00,0.32,,
482.50,ZY01,2,12,7,1.00,0.00,,
482.52,ZY01,2,8,3,1.00,0.00,,
482.52,ZY_M,1,16,6,0.00,0.00,,
482.52,ZY01,2,16,6,1.00,0.00,,
483.13,ZY01,2,7,2,1.00,0.00,,
483.13,ZY_Z,0,0,1,1.00,0.00,,
483.13,ZY_M,1,18,0,0.00,0.34,,
483.48,ZY_M,1,18,0,0.00,0.00,,
483.48,ZY01,2,18,0,1.00,0.00,,
483.48,ZY07,8,18,0,2.12,0.00,FR19,MR08
483.48,ZY02,3,10,5,1.00,0.00,FR26,
483.48,ZY03,4,10,5,1.00,0.00,FR6,
483.48,ZY04,5,10,5,3.23,0.00,FR14,MR14
483.48,ZY05,6,10,5,3.23,0.00,FR10,MR10
483.48,ZY06,7,10,5,4.00,0.00,FR22,
483.48,ZY_L,20,10,5,1.00,0.00,,
483.52,ZY02,3,12,7,1.00,0.00,FR30,
483.52,ZY03,4,12,7,1.39,0.00,,MR01
483.52,ZY04,5,12,7,3.37,0.00,,MR03;MR16
483.52,ZY06,7,12,7,4.12,0.00,,MR04
483.52,ZY_L,20,12,7,1.00,0.00,,
484.00,ZY02,3,8,3,1.00,0.00,FR30,
484.00,ZY_L,20,8,3,1.00,0.00,,
484.00,ZY02,3,16,6,1.00,0.00,FR27,
484.00,ZY03,4,16,6,1.00,0.00,FR7,
484.00,ZY05,6,16,6,3.06,0.00,FR11,MR12
484.00,ZY06,7,16,6,4.00,0.00,FR23,
484.00,ZY_L,20,16,6,1.00,0.00,,
484.13,ZY01,2,9,4,1.00,0.00,,
484.13,ZY_Z,0,0,2,1.00,0.00,,
484.13,ZY_M,1,7,1,0.00,0.18,,
484.31,ZY_M,1,7,1,0.00,0.00,,
484.31,ZY01,2,7,1,1.00,0.00,,
484.31,ZY10,11,7,1,7.00,0.00,FR2,
484.31,ZY13,14,7,1,1.00,0.00,,
485.13,ZY01,2,8,3,1.00,0.00,,
485.13,ZY07,8,8,3,2.06,0.00,FR18,MR07
485.13,ZY_T,21,8,3,0.06,0.00,,MR19
485.13,ZY_Z,0,0,4,1.00,0.00,,
485.50,ZY_M,1,9,11,0.00,0.21,,
485.71,ZY03,4,18,0,1.00,0.00,FR7,
485.71,ZY04,5,18,0,3.34,0.00,FR15,MR17
485.71,ZY05,6,18,0,3.34,0.00,FR11,MR13
485.71,ZY06,7,18,0,4.00,0.00,FR23,
485.71,ZY_L,20,18,0,1.00,0.00,,
485.71,ZY01,2,9,11,1.00,0.00,,
485.71,ZY07,8,9,11,2.17,0.00,FR18,MR06
485.71,ZY08,9,9,11,1.00,0.00,,
485.71,ZY10,11,9,11,3.00,0.00,FR2,
485.71,ZY13,14,9,11,1.00,0.00,,
485.71,ZY_T,21,9,11,0.17,0.00,,MR18
486.13,ZY_Z,0,0,9,1.00,0.00,,
486.20,ZY_M,1,23,8,0.00,0.17,,
486.37,ZY01,2,23,8,1.00,0.00,,
486.37,ZY07,8,23,8,2.00,0.00,FR20,MR09
486.37,ZY08,9,23,8,1.00,0.00,,
486.37,ZY09,10,23,8,2.00,0.00,FR24,
486.37,ZY10,11,23,8,14.00,0.00,FR4,
486.37,ZY13,14,23,8,1.00,0.00,,
486.37,ZY_T,21,23,8,0.00,0.00,,MR21
487.13,ZY_Z,0,0,10,1.00,0.00,,
487.13,ZY_M,1,11,9,0.00,0.13,,
487.27,ZY03,4,8,3,1.00,0.00,FR6,
487.27,ZY04,5,8,3,3.12,0.00,FR14,MR15
487.27,ZY06,7,8,3,4.00,0.00,FR22,
487.27,ZY_M,1,11,9,0.00,0.00,,
487.27,ZY01,2,11,9,1.00,0.00,,
487.65,ZY01,2,10,5,1.00,0.00,,
487.65,ZY08,9,10,5,1.00,0.00,,
487.65,ZY09,10,10,5,2.00,0.00,FR22,
487.65,ZY13,14,10,5,1.00,0.00,,
487.65,ZY_T,21,10,5,0.11,0.00,,MR19
488.00,ZY01,2,12,7,1.00,0.00,,
488.00,ZY07,8,12,7,2.20,0.00,FR18,MR07
488.00,ZY08,9,12,7,1.00,0.00,,
488.00,ZY09,10,12,7,2.00,0.00,,MR04
488.00,ZY13,14,12,7,1.00,0.00,,
488.00,ZY_T,21,12,7,0.15,0.00,,MR22
488.13,ZY01,2,16,6,1.00,0.00,,
488.13,ZY07,8,16,6,2.11,0.00,FR19,MR08
488.13,ZY08,9,16,6,1.00,0.00,,
488.13,ZY09,10,16,6,2.00,0.00,FR23,
488.13,ZY13,14,16,6,1.00,0.00,,
488.13,ZY_T,21,16,6,0.54,0.00,,MR23
488.13,ZY_M,1,27,10,0.00,0.25,,
488.27,ZY_M,1,11,10,0.00,0.13,,
488.40,ZY02,3,11,9,1.00,0.00,FR26,
488.40,ZY03,4,11,9,1.00,0.00,FR6,
488.40,ZY04,5,11,9,3.06,0.00,FR14,MR14
488.40,ZY05,6,11,9,3.00,0.00,FR10,MR11
488.40,ZY_L,20,11,9,1.00,0.00,,
488.40,ZY_M,1,11,10,0.00,0.00,,
488.40,ZY01,2,11,10,1.00,0.00,,
489.40,ZY11,12,9,11,1.00,0.00,,
489.40,ZY12,13,9,11,20.00,0.00,,
489.65,ZY02,3,11,10,1.00,0.00,FR26,
489.65,ZY03,4,11,10,1.08,0.00,,MR01
489.65,ZY04,5,11,10,3.08,0.00,,MR03;MR16
489.65,ZY05,6,11,10,3.06,0.00,FR10,MR10
489.65,ZY06,7,11,10,4.00,0.00,FR22,
489.65,ZY_L,20,11,10,1.00,0.00,,
489.65,ZY_Z,0,0,5,1.00,0.00,,
490.20,ZY01,2,18,0,1.00,0.00,,
490.20,ZY08,9,18,0,1.00,0.00,,
490.20,ZY09,10,18,0,2.00,0.00,FR23,
490.20,ZY13,14,18,0,1.00,0.00,,
490.20,ZY_T,21,18,0,0.43,0.00,,MR19
490.25,ZY10,11,12,7,5.00,0.00,FR2,
490.25,ZY11,12,12,7,1.00,0.00,,
490.25,ZY12,13,12,7,20.00,0.00,,
490.65,ZY11,12,16,6,1.00,0.00,,
490.65,ZY12,13,16,6,20.00,0.00,,
491.27,ZY_Z,0,0,3,1.00,0.00,,
491.46,ZY02,3,7,1,1.00,0.00,FR26,
491.46,ZY04,5,7,1,3.06,0.00,FR14,MR15
491.46,ZY05,6,7,1,3.11,0.00,FR10,MR11
491.46,ZY06,7,7,1,4.00,0.00,FR22,
491.46,ZY_L,20,7,1,1.00,0.00,,
492.20,ZY01,2,11,9,1.00,0.00,,
492.20,ZY07,8,11,9,2.08,0.00,FR18,MR07
492.20,ZY08,9,11,9,1.00,0.00,,
492.20,ZY10,11,11,9,12.00,0.00,FR2,
492.20,ZY13,14,11,9,1.00,0.00,,
492.20,ZY_T,21,11,9,0.08,0.00,,MR22
492.27,ZY11,12,18,0,1.00,0.00,,
492.27,ZY12,13,18,0,20.00,0.00,,
495.46,ZY01,2,11,10,1.00,0.00,,
495.46,ZY07,8,11,10,2.12,0.00,FR18,MR06
495.46,ZY08,9,11,10,1.00,0.00,,
495.46,ZY09,10,11,10,2.00,0.00,FR22,
495.46,ZY13,14,11,10,1.00,0.00,,
495.46,ZY_T,21,11,10,0.12,0.00,,MR18
497.58,ZY01,2,7,1,1.00,0.00,,
497.58,ZY07,8,7,1,2.11,0.00,FR18,MR06
497.58,ZY08,9,7,1,1.00,0.00,,
497.58,ZY09,10,7,1,2.00,0.00,FR22,
497.58,ZY_T,21,7,1,0.11,0.00,,MR18
499.69,ZY11,12,11,10,1.00,0.00,,
499.69,ZY12,13,11,10,20.00,0.00,,
500.37,ZY11,12,7,1,1.00,0.00,,
500.37,ZY12,13,7,1,20.00,0.00,,
500.37,ZY_Z,0,0,12,1.00,0.00,,
501.37,ZY11,12,23,8,1.00,0.00,,
501.37,ZY12,13,23,8,20.00,0.00,,
501.37,ZY_M,1,27,12,0.00,0.25,,
501.62,ZY_M,1,27,12,0.00,0.00,,
501.62,ZY01,2,27,12,1.00,0.00,,
504.20,ZY02,3,27,12,1.00,0.00,FR28,
504.20,ZY03,4,27,12,1.00,0.00,FR8,
504.20,ZY04,5,27,12,3.30,0.00,FR16,MR17
504.20,ZY05,6,27,12,3.30,0.00,FR12,MR13
504.20,ZY06,7,27,12,4.00,0.00,FR24,
504.20,ZY_L,20,27,12,1.00,0.00,,
508.20,ZY06,7,11,9,4.00,0.00,FR22,
508.20,ZY11,12,11,9,1.00,0.00,,
508.20,ZY12,13,11,9,20.00,0.00,,
508.20,ZY_Z,0,0,13,1.00,0.00,,
508.20,ZY_M,1,8,12,0.00,0.33,,
508.53,ZY01,2,8,12,1.00,0.00,,
508.53,ZY07,8,8,12,2.06,0.00,FR18,MR06
508.53,ZY08,9,8,12,1.00,0.00,,
508.53,ZY09,10,8,12,2.00,0.00,FR22,
508.53,ZY10,11,8,12,10.00,0.00,FR2,
508.53,ZY13,14,8,12,1.00,0.00,,
508.53,ZY_T,21,8,12,0.06,0.00,,MR18
509.20,ZY_M,1,27,13,0.00,0.25,,
509.40,ZY_M,1,9,13,0.00,0.21,,
509.61,ZY09,10,9,11,2.20,0.00,,MR04
509.61,ZY_M,1,9,13,0.00,0.00,,
509.61,ZY01,2,9,13,1.00,0.00,,
510.25,ZY_Z,0,0,7,1.00,0.00,,
510.65,ZY02,3,9,13,1.00,0.00,FR26,
510.65,ZY03,4,9,13,1.00,0.00,FR6,
510.65,ZY04,5,9,13,3.12,0.00,FR14,MR14
510.65,ZY05,6,9,13,3.12,0.00,FR10,MR10
510.65,ZY_L,20,9,13,1.00,0.00,,
511.25,ZY_Z,0,0,14,1.00,0.00,,
512.25,ZY14,15,9,11,2.00,0.00,,
512.25,ZY_M,1,16,14,0.00,0.32,,
512.57,ZY_M,1,16,14,0.00,0.00,,
512.57,ZY01,2,16,14,1.00,0.00,,
513.77,ZY02,3,16,14,1.00,0.00,FR27,
513.77,ZY03,4,16,14,1.00,0.00,FR7,
513.77,ZY04,5,16,14,3.36,0.00,FR15,MR14
513.77,ZY05,6,16,14,3.00,0.00,FR11,MR12
513.77,ZY06,7,16,14,4.00,0.00,FR23,
513.77,ZY_L,20,16,14,1.00,0.00,,
514.25,ZY01,2,9,13,1.00,0.00,,
514.25,ZY07,8,9,13,2.12,0.00,FR18,MR07
514.25,ZY08,9,9,13,1.00,0.00,,
514.25,ZY10,11,9,13,8.00,0.00,FR2,
514.25,ZY13,14,9,13,1.00,0.00,,
514.25,ZY_T,21,9,13,0.12,0.00,,MR22
517.77,ZY15,16,9,11,5.00,0.00,,
518.53,ZY01,2,16,14,1.00,0.00,,
518.53,ZY07,8,16,14,2.00,0.00,FR19,MR08
518.53,ZY08,9,16,14,1.00,0.00,,
518.53,ZY09,10,16,14,2.00,0.00,FR23,
518.53,ZY13,14,16,14,1.00,0.00,,
518.53,ZY_T,21,16,14,0.00,0.00,,MR23
519.69,ZY11,12,8,12,1.00,0.00,,
519.69,ZY12,13,8,12,20.00,0.00,,
520.37,ZY10,11,11,10,16.00,0.00,FR2,
520.53,ZY14,15,7,1,2.00,0.00,,
521.37,ZY11,12,16,14,1.00,0.00,,
521.37,ZY12,13,16,14,20.00,0.00,,
522.25,ZY14,15,23,8,2.00,0.00,,
522.53,ZY06,7,9,13,4.00,0.00,FR22,
522.53,ZY11,12,9,13,1.00,0.00,,
522.53,ZY12,13,9,13,20.00,0.00,,
522.77,ZY15,16,7,1,5.00,0.00,,
524.25,ZY16,17,9,11,1.00,0.00,,
525.25,ZY15,16,23,8,5.00,0.00,,
527.77,ZY17,18,9,11,1.00,0.00,,
528.20,ZY16,17,7,1,1.00,0.00,,
528.77,ZY09,10,11,9,2.00,0.00,FR22,
529.20,ZY18,19,9,11,3.00,0.00,,
530.25,ZY17,18,7,1,1.00,0.00,,
530.77,ZY16,17,23,8,1.00,0.00,,
531.25,ZY14,15,11,9,2.00,0.00,,
531.77,ZY18,19,7,1,3.00,0.00,,
532.20,ZY17,18,23,8,1.00,0.00,,
533.25,ZY18,19,23,8,3.00,0.00,,
534.77,ZY15,16,11,9,5.00,0.00,,
539.69,ZY14,15,11,10,2.00,0.00,,
539.69,ZY_T,21,31,1,0.00,0.44,,MR18
539.69,ZY_T,21,31,8,0.00,0.20,,MR21
539.69,ZY_T,21,31,11,0.00,0.41,,MR22
539.77,ZY14,15,8,12,2.00,0.00,,
539.90,ZY_S,22,31,8,3.00,0.00,,
539.90,ZY16,17,11,9,1.00,0.00,,
540.11,ZY_S,22,31,11,3.00,0.00,,
540.14,ZY_S,22,31,1,3.00,0.00,,
541.37,ZY17,18,11,9,1.00,0.00,,
541.77,ZY15,16,11,10,5.00,0.00,,
542.37,ZY15,16,8,12,5.00,0.00,,
542.53,ZY18,19,11,9,3.00,0.00,,
542.90,ZY09,10,9,13,2.00,0.00,FR22,
543.11,ZY_S,22,31,8,3.00,0.00,,
543.11,ZY_F,23,31,8,1.00,0.00,,
543.14,ZY_S,22,31,11,3.00,0.00,,
543.14,ZY_F,23,31,11,1.00,0.00,,
544.90,ZY_S,22,31,1,3.00,0.00,,
544.90,ZY_F,23,31,1,1.00,0.00,,
545.53,ZY14,15,9,13,2.00,0.00,,
545.53,ZY_T,21,31,9,0.00,0.52,,MR24
546.05,ZY_S,22,31,9,3.00,0.00,,
547.37,ZY16,17,11,10,1.00,0.00,,
547.53,ZY16,17,8,12,1.00,0.00,,
547.90,ZY15,16,9,13,5.00,0.00,,
548.53,ZY17,18,11,10,1.00,0.00,,
549.05,ZY17,18,8,12,1.00,0.00,,
549.53,ZY_S,22,31,9,3.00,0.00,,
549.53,ZY_F,23,31,9,1.00,0.00,,
550.05,ZY18,19,11,10,3.00,0.00,,
552.53,ZY18,19,8,12,3.00,0.00,,
553.05,ZY16,17,9,13,1.00,0.00,,
553.05,ZY_T,21,31,10,0.00,0.52,,MR25
553.57,ZY_S,22,31,10,3.00,0.00,,
555.53,ZY17,18,9,13,1.00,0.00,,
555.53,ZY_T,21,29,12,0.00,0.67,,MR26
556.20,ZY_S,22,29,12,3.00,0.00,,
556.57,ZY18,19,9,13,3.00,0.00,,
556.57,ZY_T,21,29,10,0.00,0.11,,MR18
556.68,ZY_S,22,29,10,3.00,0.00,,
556.68,ZY_F,23,29,10,1.00,0.00,,
559.57,ZY_S,22,29,12,3.00,0.00,,
559.57,ZY_F,23,29,12,1.00,0.00,,
559.57,ZY_T,21,29,13,0.00,0.70,,MR18
560.27,ZY_S,22,29,13,3.00,0.00,,
563.37,ZY_S,22,29,13,3.00,0.00,,
563.37,ZY_F,23,29,13,1.00,0.00,,
