time_min,job_code,job_id,site_id,plane_id,proc_min,move_min,FixedDevices,MobileDevices
420.00,ZY_Z,0,0,0,1.00,0.00,,
421.00,ZY_M,1,27,0,0.00,0.25,,
421.25,ZY_M,1,27,0,0.00,0.00,,
421.25,ZY01,2,27,0,1.00,0.00,,
422.25,ZY_Z,0,0,1,1.00,0.00,,
423.25,ZY02,3,27,0,1.00,0.00,FR28,
423.25,ZY03,4,27,0,1.00,0.00,FR8,
423.25,ZY04,5,27,0,3.18,0.00,FR16,MR17
423.25,ZY05,6,27,0,3.18,0.00,FR12,MR13
423.25,ZY06,7,27,0,4.00,0.00,FR24,
423.25,ZY_L,20,27,0,1.00,0.00,,
423.25,ZY_M,1,11,1,0.00,0.13,,
423.38,ZY_M,1,11,1,0.00,0.00,,
423.38,ZY01,2,11,1,1.00,0.00,,
424.38,ZY_Z,0,0,2,1.00,0.00,,
425.38,ZY02,3,11,1,1.00,0.00,FR26,
425.38,ZY03,4,11,1,1.00,0.00,FR6,
425.38,ZY04,5,11,1,3.11,0.00,FR14,MR15
425.38,ZY05,6,11,1,3.11,0.00,FR10,MR11
425.38,ZY06,7,11,1,4.00,0.00,FR22,
425.38,ZY_L,20,11,1,1.00,0.00,,
425.38,ZY_M,1,12,2,0.00,0.09,,
425.47,ZY_M,1,12,2,0.00,0.00,,
425.47,ZY01,2,12,2,1.00,0.00,,
426.47,ZY_Z,0,0,3,1.00,0.00,,
427.25,ZY02,3,12,2,1.00,0.00,FR26,
427.25,ZY03,4,12,2,1.00,0.00,FR6,
427.25,ZY04,5,12,2,3.35,0.00,FR14,MR14
427.25,ZY05,6,12,2,3.35,0.00,FR10,MR10
427.25,ZY06,7,12,2,4.00,0.00,FR22,
427.25,ZY_L,20,12,2,1.00,0.00,,
427.25,ZY_M,1,1,0,0.00,0.33,,
427.47,ZY_M,1,20,3,0.00,0.30,,
427.58,ZY01,2,1,0,1.00,0.00,,
427.58,ZY07,8,1,0,2.00,0.00,FR17,MR06
427.58,ZY08,9,1,0,1.00,0.00,,
427.58,ZY09,10,1,0,2.00,0.00,FR21,
427.58,ZY10,11,1,0,16.00,0.00,FR1,
427.58,ZY13,14,1,0,1.00,0.00,,
427.58,ZY_T,21,1,0,0.00,0.00,,MR18
427.58,ZY_M,1,27,3,0.00,0.25,,
427.83,ZY_M,1,27,3,0.00,0.00,,
427.83,ZY01,2,27,3,1.00,0.00,,
428.83,ZY_Z,0,0,4,1.00,0.00,,
429.38,ZY02,3,27,3,1.00,0.00,FR28,
429.38,ZY03,4,27,3,1.00,0.00,FR8,
429.38,ZY04,5,27,3,3.00,0.00,FR16,MR17
429.38,ZY05,6,27,3,3.00,0.00,FR12,MR13
429.38,ZY06,7,27,3,4.00,0.00,FR24,
