time_min,job_code,job_id,site_id,plane_id,proc_min,move_min,FixedDevices,MobileDevices
420.00,ZY_Z,0,0,0,1.00,0.00,,
421.00,ZY_M,1,12,0,0.00,0.09,,
421.09,ZY_M,1,12,0,0.00,0.00,,
421.09,ZY01,2,12,0,1.00,0.00,,
422.09,ZY_Z,0,0,1,1.00,0.00,,
423.09,ZY02,3,12,0,1.00,0.00,FR26,
423.09,ZY03,4,12,0,1.00,0.00,FR6,
423.09,ZY04,5,12,0,3.18,0.00,FR14,MR15
423.09,ZY05,6,12,0,3.18,0.00,FR10,MR11
423.09,ZY06,7,12,0,4.00,0.00,FR22,
423.09,ZY_L,20,12,0,1.00,0.00,,
423.09,ZY_M,1,6,1,0.00,0.28,,
423.37,ZY_M,1,6,1,0.00,0.00,,
423.37,ZY01,2,6,1,1.00,0.00,,
424.37,ZY_Z,0,0,2,1.00,0.00,,
425.37,ZY02,3,6,1,1.00,0.00,FR25,
425.37,ZY03,4,6,1,1.00,0.00,FR5,
425.37,ZY04,5,6,1,3.11,0.00,FR13,MR16
425.37,ZY05,6,6,1,3.11,0.00,FR9,MR12
425.37,ZY06,7,6,1,4.00,0.00,FR21,
425.37,ZY_L,20,6,1,1.00,0.00,,
425.37,ZY_M,1,2,2,0.00,0.33,,
425.71,ZY_M,1,2,2,0.00,0.00,,
425.71,ZY01,2,2,2,1.00,0.00,,
426.71,ZY_Z,0,0,3,1.00,0.00,,
427.09,ZY02,3,2,2,1.00,0.00,FR25,
427.09,ZY03,4,2,2,1.00,0.00,FR5,
427.09,ZY04,5,2,2,3.06,0.00,FR13,MR14
427.09,ZY05,6,2,2,3.06,0.00,FR9,MR10
427.09,ZY06,7,2,2,4.00,0.00,FR21,
427.09,ZY_L,20,2,2,1.00,0.00,,
427.09,ZY_M,1,19,0,0.00,0.26,,
427.35,ZY01,2,19,0,1.00,0.00,,
427.35,ZY07,8,19,0,2.11,0.00,FR19,MR08
427.35,ZY08,9,19,0,1.00,0.00,,
427.35,ZY09,10,19,0,2.00,0.00,FR23,
427.35,ZY10,11,19,0,16.00,0.00,FR3,
427.35,ZY13,14,19,0,1.00,0.00,,
427.35,ZY_T,21,19,0,0.11,0.00,,MR20
427.71,ZY_M,1,12,3,0.00,0.09,,
427.79,ZY_M,1,12,3,0.00,0.00,,
427.79,ZY01,2,12,3,1.00,0.00,,
428.79,ZY_Z,0,0,4,1.00,0.00,,
429.37,ZY02,3,12,3,1.00,0.00,FR26,
429.37,ZY03,4,12,3,1.00,0.00,FR6,
429.37,ZY04,5,12,3,3.00,0.00,FR14,MR15
429.37,ZY05,6,12,3,3.00,0.00,FR10,MR11
429.37,ZY06,7,12,3,4.00,0.00,FR22,
429.37,ZY_L,20,12,3,1.00,0.00,,
429.37,ZY_M,1,22,1,0.00,0.20,,
429.58,ZY01,2,22,1,1.00,0.00,,
429.58,ZY07,8,22,1,2.37,0.00,FR19,MR09
429.58,ZY08,9,22,1,1.00,0.00,,
429.58,ZY09,10,22,1,2.00,0.00,FR23,
429.58,ZY10,11,22,1,16.00,0.00,FR3,
429.58,ZY13,14,22,1,1.00,0.00,,
429.58,ZY_T,21,22,1,0.37,0.00,,MR21
429.79,ZY_M,1,6,4,0.00,0.28,,
430.08,ZY_M,1,6,4,0.00,0.00,,
430.08,ZY01,2,6,4,1.00,0.00,,
430.08,ZY_Z,0,0,5,1.00,0.00,,
